SPBC16A3.13,SPAC13D6.01,SPBC16D10.11c,SPAC13D6.02c,SPBC1709.16c,SPAC14C4.10c,SPBC1711.11,SPAC167.06c,SPBC20F10.03,SPAC1783.06c,SPBC23E6.03c,SPAC17G8.08c,SPBC25B2.10,SPAC18B11.03c,SPBC27B12.08,SPAC18G6.01c,SPBC29A3.10c,SPAC19G12.04,SPBC2A9.05c,SPAC1A6.07,SPBC317.01,SPAC1B3.06c,SPBC337.15c,SPAC20H4.03c
SPBC31F10.15c,SPBC20F10.05,SPBC36B7.06c,SPBC29A10.16c,SPBC409.17c,SPBC2G2.03c,SPBP4H10.17c,SPBC2G2.08,SPBP8B7.28c,SPBC31F10.08,SPCC1020.09,SPBC405.05,SPCC1223.10c,SPBC577.14c,SPCC126.15c,SPBC800.12c,SPCC613.11c,SPCC24B10.16c,SPCC622.01c,SPCC320.14,SPCC63.06,SPCC70.08c,SPCC63.13,SPAC20H4.08
SPBC3E7.07c,SPAC22A12.03c,SPBC405.06,SPAC22E12.05c,SPBC409.16c,SPAC23A1.14c,SPBC646.06c,SPAC823.12,empty,SPAC31A2.12,SPBC6B1.03c,empty,SPBC725.15,SPAC31A2.13c,SPBC83.18c,SPAC3G9.11c,SPBC839.05c,SPCC794.08,SPBP4H10.19c,SPAC630.06c,SPBPB2B2.08,SPAC6G10.11c,SPBPB2B2.09c,SPAC9.08c
SPCC645.07,SPAC222.04c,SPAC12G12.13c,SPAC31A2.14,SPAC14C4.04,SPAC7D4.08,SPAC186.06,SPAC823.15,SPAC25H1.06,SPAC823.16c,SPAC4A8.07c,SPBC106.07c,empty,SPBC16E9.06c,SPAC6G9.01c,empty,SPAC869.09,SPBC19G7.16,SPAC9.02c,SPBC1D7.04,SPAC926.05c,SPBC354.04,SPAC959.05c,SPBC365.03c
SPCC1235.08c,SPAC977.14c,SPCC1281.04,SPAPB1A10.10c,SPCC1393.08,SPAPB21F2.02,SPCC162.04c,SPBC11B10.10c,SPCC162.05,SPBC12C2.09c,SPCC1682.11c,SPBC13E7.07,SPCC1739.05,SPBC15C4.06c,SPCC1919.13c,SPBC16C6.04,SPCC24B10.12,SPBC1773.05c,SPCC330.12c,SPBC17D11.03c,SPCC569.03,SPBC215.03c,SPCC663.12,SPBC25H2.09
SPAP7G5.05,SPBC3B8.04c,SPAPB8E5.10,SPBC713.08,SPBC115.03,SPBC83.01,SPBC21C3.06,SPCC70.09c,SPBC29A3.08,SPCC825.02,SPBC3B8.10c,SPCP31B10.02,SPBC409.20c,SPAC10F6.07c,SPBC4F6.10,SPAC139.02c,SPBC651.04,SPCC830.04c,SPBC8D2.04,SPAP27G11.12,SPCC11E10.06c,SPBC1271.07c,SPCC1795.10c,SPBC16D10.01c
SPCC777.15,SPBC83.16c,SPCC794.10,SPBC902.05c,SPAC10F6.08c,SPBP35G2.02,SPAC14C4.08,SPBP35G2.04c,SPAC14C4.09,SPBP4H10.05c,SPAC1565.03,SPCC191.05c,SPAC1610.01,SPCC622.15c,SPAC16E8.17c,SPCC663.11,SPAC17G8.14c,SPCC663.13c,SPAC1805.03c,SPCC70.03c,SPAC1B3.02c,SPCC736.02,SPAC23H4.10c,SPCC965.07c
SPCC777.09c,SPBC1709.01,SPCC965.09,SPBC215.14c,SPCC965.14c,SPBC23G7.14,SPAC17A2.07c,SPBC651.06,SPAC17H9.13c,SPBPB2B2.07c,SPAC22F3.02,SPCC16A11.07,SPAC23A1.16c,SPCC18.01c,SPAC31G5.03,SPAC1952.08c,SPAC3H5.10,SPAC23G3.04,SPAC4D7.06c,SPAC57A10.09c,SPAC4F10.19c,SPAC8F11.05c,SPAC57A7.09,SPBC1778.05c
SPAC25B8.09,SPAC13C5.04,SPAC25G10.05c,SPAC13D6.04c,SPAC29B12.06c,SPAC13G7.06,SPAC2G11.04,SPAC13G7.12c,SPAC3A11.04,SPAC1610.02c,SPAC3C7.14c,SPAC16A10.03c,SPAC56F8.14c,SPAC16E8.01,SPAC589.10c,SPAC17C9.14,SPAC5H10.02c,SPAC17C9.15c,SPAC607.07c,SPAC1834.08,SPAC6B12.05c,SPAC19D5.06c,SPAC6F12.03c,SPAC24C9.16c
SPAC869.07c,SPBC19C7.05,SPAC8C9.09c,SPBC4F6.08c,SPAPJ698.02c,SPBC8D2.16c,SPBC11C11.01,SPCC1672.04c,SPBC15D4.05,SPCC18.06c,SPBC1773.02c,SPCC191.06,SPBC18H10.10c,SPAC11G7.03,SPBC18H10.11c,SPAC19E9.02,SPBC18H10.18c,SPAC22F8.12c,SPBC19C7.01,SPAC9E9.11,SPBC2F12.04,SPBC11B10.08,SPBC30D10.05c,SPBC2G2.10c
SPAC6G9.03c,SPAC3H1.14,SPAC7D4.05,SPAC3H8.04,SPAP8A3.07c,SPAC4D7.07c,SPAPB24D3.03,SPAC823.09c,SPAPB8E5.08,SPBC1604.03c,SPBC1271.03c,SPBC1711.06,SPBC1347.13c,SPBC21C3.20c,SPBC13G1.04c,SPBC8D2.11,SPBC146.02,SPBC902.03,SPBC1683.10c,SPBP35G2.12,SPBC1711.12,SPCC13B11.03c,SPBC1718.07c,SPCC1442.04c
SPBC32F12.12c,SPBC365.11,SPCC1235.02,SPBC4B4.03,SPCC18.09c,SPBC776.11,SPCC285.04,SPBP8B7.04,SPCC306.02c,SPCC285.15c,SPCC550.11,SPAC11H11.02c,SPAC1399.04c,SPAC15F9.01c,SPAC1556.05c,SPAC23H3.06,SPAC1687.16c,SPAC25H1.09,SPAC17A5.16,SPAC26H5.04,SPAC17G8.13c,SPAC32A11.01,SPAC1952.17c,SPAC3A12.10
SPBC18A7.01,SPCC1620.13,SPBC1921.04c,SPCC1739.07,SPBC1921.06c,SPCC1840.08c,SPBC1E8.02,SPCC645.12c,SPBC24C6.10c,SPCC830.08c,SPBC2F12.09c,SPAC17A5.05c,SPBC2G2.07c,SPAC17C9.10,SPBC2G5.01,SPAC186.03,SPBC2G5.03,SPAC1F12.04c,SPBC530.03c,SPAC22E12.03c,SPCC1183.09c,SPAC23C11.02c,SPCC1235.03,SPAC29B12.12
SPAC1F7.13c,SPAC8F11.09c,SPAC23C11.15,SPBC16H5.12c,SPAC29A4.19c,SPBC21C3.19,SPAC3G9.01,SPBC3H7.09,SPAC688.12c,SPBC839.03c,SPAC9E9.14,SPBC947.03c,SPAPB8E5.04c,SPCC569.04,SPBC1347.11,SPCPB16A4.06c,SPBC146.11c,SPAC10F6.17c,SPBC19G7.03c,SPAC27E2.11c,SPBC21C3.17c,SPAC29E6.05c,SPBC21H7.07c,SPAC31G5.18c
SPCC126.10,SPAC3G6.01,SPCC1393.10,SPAC513.04,SPCC1442.13c,SPAC694.04c,SPCC16A11.15c,SPAC6B12.14c,SPCC1795.06,SPAC6C3.07,SPCC18B5.09c,SPAC890.06,SPCC285.10c,SPAC922.07c,SPCC338.14,SPBC1604.16c,SPCC663.09c,SPBC1683.06c,SPCP20C8.02c,SPBC18H10.08c,SPCPB1C11.01,SPBC2F12.05c,SPAC1093.02,SPBC30B4.01c
SPBC25H2.11c,SPAPB1A10.09,SPBC543.08,SPBC1198.03c,SPAC22F3.10c,SPBC336.13c,SPCC1322.07c,SPBC776.14,SPCC1393.05,SPBP8B7.02,SPCC297.06c,SPBPJ4664.05,SPAC11H11.05c,SPCC16C4.20c,SPAC1687.07,SPAC1142.01,SPAC212.02,SPAC15A10.15,SPAC23C11.13c,SPAC22F3.09c,SPAC31G5.15,SPAP7G5.03,SPAP8A3.02c,SPBC725.09c
